Zeit;Kanal A;Kanal B
(ms);(V);(V)

0,07250019;1,02036166;1,69986463
0,08842819;1,03795516;1,90803397
0,10435619;1,03795516;1,87333906
0,12028419;1,05554867;1,63047493
0,13621218;1,05554867;1,23154533
0,15214018;1,05554867;0,79785925
0,16806818;1,03795516;0,43362451
0,18399618;1,03795516;0,26015010
0,19992418;1,03795516;0,31219241
0,21585218;1,02036166;0,55505657
0,23178018;1,02036166;0,91929132
0,24770818;1,02036166;1,30093503
0,26363618;1,03795516;1,57843256
0,27956417;1,03795516;1,71721208
0,29549217;1,03795516;1,64782238
0,31142017;1,03795516;1,43971455
0,32734817;1,03795516;1,11011314
0,34327617;1,03795516;0,79785925
0,35920417;1,03795516;0,55505657
0,37513217;1,03795516;0,45097196
0,39106017;1,03795516;0,52036172
0,40698817;1,03795516;0,71118355
0,42291616;1,02036166;0,98868108
0,43884416;1,03795516;1,28358757
0,45477216;1,03795516;1,47440946
0,47070016;1,03795516;1,54373765
0,48662816;1,03795516;1,47440946
0,50255616;1,03795516;1,30093503
0,51848416;1,03795516;1,05807090
0,53441216;1,03795516;0,81520671
0,55034016;1,03795516;0,64179379
0,56626815;1,03795516;0,58975148
0,58219615;1,02036166;0,65914124
0,59812415;1,02036166;0,83255410
0,61405215;1,03795516;1,05807090
0,62998015;1,03795516;1,26624012
0,64590815;1,03795516;1,38767219
0,66183615;1,03795516;1,42236710
0,67776415;1,03795516;1,35297740
0,69369215;1,03795516;1,19685042
0,70962014;1,03795516;1,00602853
0,72554814;1,03795516;0,83255410
0,74147614;1,03795516;0,71118355
0,75740414;1,03795516;0,69383609
0,77333214;1,02036166;0,78051180
0,78926014;1,02036166;0,91929132
0,80518814;1,03795516;1,09276569
0,82111614;1,03795516;1,23154533
0,83704414;1,03795516;1,31828249
0,85297213;1,03795516;1,31828249
0,86890013;1,03795516;1,24889266
0,88482813;1,03795516;1,12746060
0,90075613;1,03795516;0,98868108
0,91668413;1,03795516;0,86724901
0,93261213;1,03795516;0,78051180
0,94854013;1,03795516;0,79785925
0,96446813;1,03795516;0,86724901
0,98039613;1,02036166;0,97133368
0,99632413;1,03795516;1,11011314
1,01225212;1,03795516;1,19685042
1,02818012;1,03795516;1,26624012
1,04410812;1,03795516;1,24889266
1,06003612;1,03795516;1,17950296
1,07596412;1,03795516;1,07541835
1,09189212;1,03795516;0,97133368
1,10782012;1,03795516;0,88459647
1,12374812;1,03795516;0,84990156
1,13967612;1,03795516;0,86724901
1,15560411;1,03795516;0,91929132
1,17153211;1,03795516;1,02337599
1,18746011;1,03795516;1,11011314
1,20338811;1,03795516;1,17950296
1,21931611;1,03795516;1,21419787
1,23524411;1,03795516;1,19685042
1,25117211;1,03795516;1,12746060
1,26710011;1,03795516;1,04072344
1,28302811;1,03795516;0,97133368
1,29895610;1,03795516;0,90194392
1,31488410;1,03795516;0,88459647
1,33081210;1,03795516;0,90194392
1,34674010;1,03795516;0,95398623
1,36266810;1,03795516;1,04072344
1,37859610;1,03795516;1,11011314
1,39452410;1,03795516;1,16215551
1,41045210;1,03795516;1,16215551
1,42638010;1,03795516;1,14480805
1,44230809;1,03795516;1,09276569
1,45823609;1,03795516;1,02337599
1,47416409;1,03795516;0,97133368
1,49009209;1,03795516;0,93663877
1,50602009;1,03795516;0,91929132
1,52194809;1,03795516;0,95398623
1,53787609;1,03795516;0,98868108
1,55380409;1,03795516;1,05807090
1,56973209;1,03795516;1,11011314
1,58566008;1,03795516;1,12746060
